Textbox11	Textbox3	Textbox2	Textbox9	Textbox12	Textbox8																			
RCV Detailed Report	General Election	State of Alaska	8-Nov-22																					
																								
Textbox24	Textbox21	Textbox53	state	timeStamp																				
House District 28	Official results	Number of positions to elect is 1.	All Positions Filled	11/30/2022 13:45																				
																								
Textbox36	Textbox41	winnersByThreshold	usesDistricts	previousRoundsEvaluation	eliminationType	fixedPrecisionDecimals	performEliminationTransferInLastRound	skipOvervotedRankings	votesToInThresholdCalculation	useFirstRoundSuspension	skipRankingsRule													
IRV	TRUE	FALSE	TRUE	None	Single	0	TRUE	FALSE	Continuing ballots per round	FALSE	Exhausted on Two or More Ranks Skipped													
																								
Textbox35	Textbox86	choiceName2	votes	Textbox17	points	continuingVotes	points1	choiceName3	votes1	points2	nonTransferableVotes	nonTransferablePoints	surplus	Textbox14	choiceName4	Textbox2	Textbox21	Textbox44	Textbox47	sourceChoiceName	choiceName	ballotsTransferred3	transferFraction3	votes5
State of Alaska	Round 1	"Allen, Rachel M."	"1,287"	21.66%	0	"5,942"	0				"1,156"	0	0											
State of Alaska	Round 1	"Sumner, Jesse M."	"2,217"	37.31%	0	"5,942"	0				"1,156"	0	0											
State of Alaska	Round 1	"Wright, Jessica"	863	14.52%	0	"5,942"	0				"1,156"	0	0											
State of Alaska	Round 1	"Menard, Steve"	"1,575"	26.51%	0	"5,942"	0				"1,156"	0	0											
State of Alaska	Round 1	Blanks	"1,143"	19.24%	0	"5,942"	0				"1,156"	0	0											
State of Alaska	Round 1	Exhausted	0	0.00%	0	"5,942"	0				"1,156"	0	0											
State of Alaska	Round 1	Overvotes	13	0.22%	0	"5,942"	0				"1,156"	0	0											
State of Alaska	Round 1	Remainder Points	0	0.00%	0	"5,942"	0				"1,156"	0	0											
State of Alaska	Round 1					"5,942"	0	"Allen, Rachel M."	"1,287"	0	"1,156"	0	0											
State of Alaska	Round 1					"5,942"	0	"Sumner, Jesse M."	"2,217"	0	"1,156"	0	0											
State of Alaska	Round 1					"5,942"	0	"Wright, Jessica"	863	0	"1,156"	0	0											
State of Alaska	Round 1					"5,942"	0	"Menard, Steve"	"1,575"	0	"1,156"	0	0											
State of Alaska	Round 1					"5,942"	0	Blanks	"1,143"	0	"1,156"	0	0											
State of Alaska	Round 1					"5,942"	0	Exhausted	0	0	"1,156"	0	0											
State of Alaska	Round 1					"5,942"	0	Overvotes	13	0	"1,156"	0	0											
State of Alaska	Round 1					"5,942"	0	Remainder Points	0	0	"1,156"	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Allen, Rachel M."									
State of Alaska															"Sumner, Jesse M."									
State of Alaska															"Wright, Jessica"									
State of Alaska															"Menard, Steve"									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Allen, Rachel M.."								
State of Alaska																"The tie is broken by selecting Sumner, Jesse M.."								
State of Alaska																"The tie is broken by selecting Wright, Jessica."								
State of Alaska																"The tie is broken by selecting Menard, Steve."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Allen, Rachel M. is  because "							
State of Alaska																	"Sumner, Jesse M. is  because "							
State of Alaska																	"Wright, Jessica is eliminated because the candidate had the least amount of votes."							
State of Alaska																	"Menard, Steve is  because "							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
State of Alaska																		"Elimination transfer for candidate Wright, Jessica."	863 ballots have been transferred in the following manner:	"Wright, Jessica"	"Allen, Rachel M."	204	1	204
State of Alaska																		"Elimination transfer for candidate Wright, Jessica."	863 ballots have been transferred in the following manner:	"Wright, Jessica"	"Sumner, Jesse M."	201	1	201
State of Alaska																		"Elimination transfer for candidate Wright, Jessica."	863 ballots have been transferred in the following manner:	"Wright, Jessica"	"Wright, Jessica"	863	1	-863
State of Alaska																		"Elimination transfer for candidate Wright, Jessica."	863 ballots have been transferred in the following manner:	"Wright, Jessica"	"Menard, Steve"	146	1	146
State of Alaska																		"Elimination transfer for candidate Wright, Jessica."	863 ballots have been transferred in the following manner:	"Wright, Jessica"	Exhausted	311	1	311
State of Alaska																		"Elimination transfer for candidate Wright, Jessica."	863 ballots have been transferred in the following manner:	"Wright, Jessica"	Overvotes	1	1	1
State of Alaska	Round 2	"Allen, Rachel M."	"1,491"	26.48%	0	"5,630"	0				"1,468"	0	0											
State of Alaska	Round 2	"Sumner, Jesse M."	"2,418"	42.95%	0	"5,630"	0				"1,468"	0	0											
State of Alaska	Round 2	"Wright, Jessica"	0	0.00%	0	"5,630"	0				"1,468"	0	0											
State of Alaska	Round 2	"Menard, Steve"	"1,721"	30.57%	0	"5,630"	0				"1,468"	0	0											
State of Alaska	Round 2	Blanks	"1,143"	20.30%	0	"5,630"	0				"1,468"	0	0											
State of Alaska	Round 2	Exhausted	311	5.52%	0	"5,630"	0				"1,468"	0	0											
State of Alaska	Round 2	Overvotes	14	0.25%	0	"5,630"	0				"1,468"	0	0											
State of Alaska	Round 2	Remainder Points	0	0.00%	0	"5,630"	0				"1,468"	0	0											
State of Alaska	Round 2					"5,630"	0	"Allen, Rachel M."	"1,491"	0	"1,468"	0	0											
State of Alaska	Round 2					"5,630"	0	"Sumner, Jesse M."	"2,418"	0	"1,468"	0	0											
State of Alaska	Round 2					"5,630"	0	"Wright, Jessica"	0	0	"1,468"	0	0											
State of Alaska	Round 2					"5,630"	0	"Menard, Steve"	"1,721"	0	"1,468"	0	0											
State of Alaska	Round 2					"5,630"	0	Blanks	"1,143"	0	"1,468"	0	0											
State of Alaska	Round 2					"5,630"	0	Exhausted	311	0	"1,468"	0	0											
State of Alaska	Round 2					"5,630"	0	Overvotes	14	0	"1,468"	0	0											
State of Alaska	Round 2					"5,630"	0	Remainder Points	0	0	"1,468"	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Allen, Rachel M."									
State of Alaska															"Sumner, Jesse M."									
State of Alaska															"Wright, Jessica"									
State of Alaska															"Menard, Steve"									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Allen, Rachel M.."								
State of Alaska																"The tie is broken by selecting Sumner, Jesse M.."								
State of Alaska																"The tie is broken by selecting Wright, Jessica."								
State of Alaska																"The tie is broken by selecting Menard, Steve."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Allen, Rachel M. is eliminated because the candidate had the least amount of votes."							
State of Alaska																	"Sumner, Jesse M. is  because "							
State of Alaska																	"Wright, Jessica is  because "							
State of Alaska																	"Menard, Steve is  because "							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Wright, Jessica"			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
State of Alaska																		"Elimination transfer for candidate Allen, Rachel M.."	1491 ballots have been transferred in the following manner:	"Allen, Rachel M."	"Allen, Rachel M."	1491	1	"-1,491"
State of Alaska																		"Elimination transfer for candidate Allen, Rachel M.."	1491 ballots have been transferred in the following manner:	"Allen, Rachel M."	"Sumner, Jesse M."	702	1	702
State of Alaska																		"Elimination transfer for candidate Allen, Rachel M.."	1491 ballots have been transferred in the following manner:	"Allen, Rachel M."	"Menard, Steve"	215	1	215
State of Alaska																		"Elimination transfer for candidate Allen, Rachel M.."	1491 ballots have been transferred in the following manner:	"Allen, Rachel M."	Exhausted	573	1	573
State of Alaska																		"Elimination transfer for candidate Allen, Rachel M.."	1491 ballots have been transferred in the following manner:	"Allen, Rachel M."	Overvotes	1	1	1
State of Alaska	Round 3	"Allen, Rachel M."	0	0.00%	0	"5,056"	0				"2,042"	0	0											
State of Alaska	Round 3	"Sumner, Jesse M."	"3,120"	61.71%	0	"5,056"	0				"2,042"	0	0											
State of Alaska	Round 3	"Wright, Jessica"	0	0.00%	0	"5,056"	0				"2,042"	0	0											
State of Alaska	Round 3	"Menard, Steve"	"1,936"	38.29%	0	"5,056"	0				"2,042"	0	0											
State of Alaska	Round 3	Blanks	"1,143"	22.61%	0	"5,056"	0				"2,042"	0	0											
State of Alaska	Round 3	Exhausted	884	17.48%	0	"5,056"	0				"2,042"	0	0											
