Textbox11	Textbox3	Textbox2	Textbox9	Textbox12	Textbox8																			
RCV Detailed Report	General Election	State of Alaska	8-Nov-22																					
																								
Textbox24	Textbox21	Textbox53	state	timeStamp																				
House District 34	Official results	Number of positions to elect is 1.	All Positions Filled	11/30/2022 13:48																				
																								
Textbox36	Textbox41	winnersByThreshold	usesDistricts	previousRoundsEvaluation	eliminationType	fixedPrecisionDecimals	performEliminationTransferInLastRound	skipOvervotedRankings	votesToInThresholdCalculation	useFirstRoundSuspension	skipRankingsRule													
IRV	TRUE	FALSE	TRUE	None	Single	0	TRUE	FALSE	Continuing ballots per round	FALSE	Exhausted on Two or More Ranks Skipped													
																								
Textbox35	Textbox86	choiceName2	votes	Textbox17	points	continuingVotes	points1	choiceName3	votes1	points2	nonTransferableVotes	nonTransferablePoints	surplus	Textbox14	choiceName4	Textbox2	Textbox21	Textbox44	Textbox47	sourceChoiceName	choiceName	ballotsTransferred3	transferFraction3	votes5
State of Alaska	Round 1	"Hopkins, Grier H."	"3,175"	43.05%	0	"7,376"	0				317	0	0											
State of Alaska	Round 1	"Tomaszewski, Frank J."	"3,615"	49.01%	0	"7,376"	0				317	0	0											
State of Alaska	Round 1	"DeMars, Nate"	586	7.94%	0	"7,376"	0				317	0	0											
State of Alaska	Round 1	Blanks	310	4.20%	0	"7,376"	0				317	0	0											
State of Alaska	Round 1	Exhausted	0	0.00%	0	"7,376"	0				317	0	0											
State of Alaska	Round 1	Overvotes	7	0.09%	0	"7,376"	0				317	0	0											
State of Alaska	Round 1	Remainder Points	0	0.00%	0	"7,376"	0				317	0	0											
State of Alaska	Round 1					"7,376"	0	"Hopkins, Grier H."	"3,175"	0	317	0	0											
State of Alaska	Round 1					"7,376"	0	"Tomaszewski, Frank J."	"3,615"	0	317	0	0											
State of Alaska	Round 1					"7,376"	0	"DeMars, Nate"	586	0	317	0	0											
State of Alaska	Round 1					"7,376"	0	Blanks	310	0	317	0	0											
State of Alaska	Round 1					"7,376"	0	Exhausted	0	0	317	0	0											
State of Alaska	Round 1					"7,376"	0	Overvotes	7	0	317	0	0											
State of Alaska	Round 1					"7,376"	0	Remainder Points	0	0	317	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Hopkins, Grier H."									
State of Alaska															"Tomaszewski, Frank J."									
State of Alaska															"DeMars, Nate"									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Hopkins, Grier H.."								
State of Alaska																"The tie is broken by selecting Tomaszewski, Frank J.."								
State of Alaska																"The tie is broken by selecting DeMars, Nate."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Hopkins, Grier H. is  because "							
State of Alaska																	"Tomaszewski, Frank J. is  because "							
State of Alaska																	"DeMars, Nate is eliminated because the candidate had the least amount of votes."							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
State of Alaska																		"Elimination transfer for candidate DeMars, Nate."	586 ballots have been transferred in the following manner:	"DeMars, Nate"	"Hopkins, Grier H."	25	1	25
State of Alaska																		"Elimination transfer for candidate DeMars, Nate."	586 ballots have been transferred in the following manner:	"DeMars, Nate"	"Tomaszewski, Frank J."	398	1	398
State of Alaska																		"Elimination transfer for candidate DeMars, Nate."	586 ballots have been transferred in the following manner:	"DeMars, Nate"	"DeMars, Nate"	586	1	-586
State of Alaska																		"Elimination transfer for candidate DeMars, Nate."	586 ballots have been transferred in the following manner:	"DeMars, Nate"	Exhausted	162	1	162
State of Alaska																		"Elimination transfer for candidate DeMars, Nate."	586 ballots have been transferred in the following manner:	"DeMars, Nate"	Overvotes	1	1	1
State of Alaska	Round 2	"Hopkins, Grier H."	"3,200"	44.36%	0	"7,213"	0				480	0	0											
State of Alaska	Round 2	"Tomaszewski, Frank J."	"4,013"	55.64%	0	"7,213"	0				480	0	0											
State of Alaska	Round 2	"DeMars, Nate"	0	0.00%	0	"7,213"	0				480	0	0											
State of Alaska	Round 2	Blanks	310	4.30%	0	"7,213"	0				480	0	0											
State of Alaska	Round 2	Exhausted	162	2.25%	0	"7,213"	0				480	0	0											
State of Alaska	Round 2	Overvotes	8	0.11%	0	"7,213"	0				480	0	0											
State of Alaska	Round 2	Remainder Points	0	0.00%	0	"7,213"	0				480	0	0											
State of Alaska	Round 2					"7,213"	0	"Hopkins, Grier H."	"3,200"	0	480	0	0											
State of Alaska	Round 2					"7,213"	0	"Tomaszewski, Frank J."	"4,013"	0	480	0	0											
State of Alaska	Round 2					"7,213"	0	"DeMars, Nate"	0	0	480	0	0											
State of Alaska	Round 2					"7,213"	0	Blanks	310	0	480	0	0											
State of Alaska	Round 2					"7,213"	0	Exhausted	162	0	480	0	0											
State of Alaska	Round 2					"7,213"	0	Overvotes	8	0	480	0	0											
State of Alaska	Round 2					"7,213"	0	Remainder Points	0	0	480	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Hopkins, Grier H."									
State of Alaska															"Tomaszewski, Frank J."									
State of Alaska															"DeMars, Nate"									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Hopkins, Grier H.."								
State of Alaska																"The tie is broken by selecting Tomaszewski, Frank J.."								
State of Alaska																"The tie is broken by selecting DeMars, Nate."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Hopkins, Grier H. is eliminated because the candidate was not elected in the last round."							
State of Alaska																	"Tomaszewski, Frank J. is elected because all other candidates have been eliminated."							
State of Alaska																	"DeMars, Nate is  because "							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Hopkins, Grier H."			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Tomaszewski, Frank J."			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"DeMars, Nate"			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Exhausted			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Overvotes			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
