Textbox11	Textbox3	Textbox2	Textbox9	Textbox12	Textbox8																			
RCV Detailed Report	General Election	State of Alaska	8-Nov-22																					
																								
Textbox24	Textbox21	Textbox53	state	timeStamp																				
House District 30	Official results	Number of positions to elect is 1.	All Positions Filled	11/30/2022 13:46																				
																								
Textbox36	Textbox41	winnersByThreshold	usesDistricts	previousRoundsEvaluation	eliminationType	fixedPrecisionDecimals	performEliminationTransferInLastRound	skipOvervotedRankings	votesToInThresholdCalculation	useFirstRoundSuspension	skipRankingsRule													
IRV	TRUE	FALSE	TRUE	None	Single	0	TRUE	FALSE	Continuing ballots per round	FALSE	Exhausted on Two or More Ranks Skipped													
																								
Textbox35	Textbox86	choiceName2	votes	Textbox17	points	continuingVotes	points1	choiceName3	votes1	points2	nonTransferableVotes	nonTransferablePoints	surplus	Textbox14	choiceName4	Textbox2	Textbox21	Textbox44	Textbox47	sourceChoiceName	choiceName	ballotsTransferred3	transferFraction3	votes5
State of Alaska	Round 1	"Holmes, Doyle E."	"2,608"	34.69%	0	"7,519"	0				616	0	0											
State of Alaska	Round 1	"McCabe, Kevin J."	"3,394"	45.14%	0	"7,519"	0				616	0	0											
State of Alaska	Round 1	"Mindiola, L. Joy"	"1,517"	20.18%	0	"7,519"	0				616	0	0											
State of Alaska	Round 1	Blanks	603	8.02%	0	"7,519"	0				616	0	0											
State of Alaska	Round 1	Exhausted	0	0.00%	0	"7,519"	0				616	0	0											
State of Alaska	Round 1	Overvotes	13	0.17%	0	"7,519"	0				616	0	0											
State of Alaska	Round 1	Remainder Points	0	0.00%	0	"7,519"	0				616	0	0											
State of Alaska	Round 1					"7,519"	0	"Holmes, Doyle E."	"2,608"	0	616	0	0											
State of Alaska	Round 1					"7,519"	0	"McCabe, Kevin J."	"3,394"	0	616	0	0											
State of Alaska	Round 1					"7,519"	0	"Mindiola, L. Joy"	"1,517"	0	616	0	0											
State of Alaska	Round 1					"7,519"	0	Blanks	603	0	616	0	0											
State of Alaska	Round 1					"7,519"	0	Exhausted	0	0	616	0	0											
State of Alaska	Round 1					"7,519"	0	Overvotes	13	0	616	0	0											
State of Alaska	Round 1					"7,519"	0	Remainder Points	0	0	616	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Holmes, Doyle E."									
State of Alaska															"McCabe, Kevin J."									
State of Alaska															"Mindiola, L. Joy"									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Holmes, Doyle E.."								
State of Alaska																"The tie is broken by selecting McCabe, Kevin J.."								
State of Alaska																"The tie is broken by selecting Mindiola, L. Joy."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Holmes, Doyle E. is  because "							
State of Alaska																	"McCabe, Kevin J. is  because "							
State of Alaska																	"Mindiola, L. Joy is eliminated because the candidate had the least amount of votes."							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Overvotes			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
State of Alaska																		"Elimination transfer for candidate Mindiola, L. Joy."	1517 ballots have been transferred in the following manner:	"Mindiola, L. Joy"	"Holmes, Doyle E."	276	1	276
State of Alaska																		"Elimination transfer for candidate Mindiola, L. Joy."	1517 ballots have been transferred in the following manner:	"Mindiola, L. Joy"	"McCabe, Kevin J."	268	1	268
State of Alaska																		"Elimination transfer for candidate Mindiola, L. Joy."	1517 ballots have been transferred in the following manner:	"Mindiola, L. Joy"	"Mindiola, L. Joy"	1517	1	"-1,517"
State of Alaska																		"Elimination transfer for candidate Mindiola, L. Joy."	1517 ballots have been transferred in the following manner:	"Mindiola, L. Joy"	Exhausted	973	1	973
State of Alaska	Round 2	"Holmes, Doyle E."	"2,884"	44.06%	0	"6,546"	0				"1,589"	0	0											
State of Alaska	Round 2	"McCabe, Kevin J."	"3,662"	55.94%	0	"6,546"	0				"1,589"	0	0											
State of Alaska	Round 2	"Mindiola, L. Joy"	0	0.00%	0	"6,546"	0				"1,589"	0	0											
State of Alaska	Round 2	Blanks	603	9.21%	0	"6,546"	0				"1,589"	0	0											
State of Alaska	Round 2	Exhausted	973	14.86%	0	"6,546"	0				"1,589"	0	0											
State of Alaska	Round 2	Overvotes	13	0.20%	0	"6,546"	0				"1,589"	0	0											
State of Alaska	Round 2	Remainder Points	0	0.00%	0	"6,546"	0				"1,589"	0	0											
State of Alaska	Round 2					"6,546"	0	"Holmes, Doyle E."	"2,884"	0	"1,589"	0	0											
State of Alaska	Round 2					"6,546"	0	"McCabe, Kevin J."	"3,662"	0	"1,589"	0	0											
State of Alaska	Round 2					"6,546"	0	"Mindiola, L. Joy"	0	0	"1,589"	0	0											
State of Alaska	Round 2					"6,546"	0	Blanks	603	0	"1,589"	0	0											
State of Alaska	Round 2					"6,546"	0	Exhausted	973	0	"1,589"	0	0											
State of Alaska	Round 2					"6,546"	0	Overvotes	13	0	"1,589"	0	0											
State of Alaska	Round 2					"6,546"	0	Remainder Points	0	0	"1,589"	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Holmes, Doyle E."									
State of Alaska															"McCabe, Kevin J."									
State of Alaska															"Mindiola, L. Joy"									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Holmes, Doyle E.."								
State of Alaska																"The tie is broken by selecting McCabe, Kevin J.."								
State of Alaska																"The tie is broken by selecting Mindiola, L. Joy."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Holmes, Doyle E. is eliminated because the candidate was not elected in the last round."							
State of Alaska																	"McCabe, Kevin J. is elected because all other candidates have been eliminated."							
State of Alaska																	"Mindiola, L. Joy is  because "							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Holmes, Doyle E."			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"McCabe, Kevin J."			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Mindiola, L. Joy"			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Exhausted			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Overvotes			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
