ElectionDate,ElectionName,ContestNumber,ContestName,PrecinctNumber,WardNumber,Candidate,Party,Votes
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,6,2,,CITYWIDE,829
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,6,2,DEM KISHAN PUTTA,DEM,176
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,6,2,DEM JORDAN GROSSMAN,DEM,43
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,6,2,DEM PATRICK KENNEDY,DEM,134
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,6,2,REP KATHERINE VENICE,REP,46
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,6,2,DEM BROOKE PINTO,DEM,383
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,6,2,DEM YILIN (ELLEN) ZHANG,DEM,15
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,6,2,DEM JOHN FANNING,DEM,15
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,6,2,Write-in,NPN,10
6/16/2020 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,13,2,,CITYWIDE,1933
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,13,2,,CITYWIDE,589
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,13,2,Write-in,NPN,8
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,13,2,DEM JOHN FANNING,DEM,6
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,13,2,DEM YILIN (ELLEN) ZHANG,DEM,24
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,13,2,DEM BROOKE PINTO,DEM,252
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,13,2,REP KATHERINE VENICE,REP,42
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,13,2,DEM PATRICK KENNEDY,DEM,136
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,13,2,DEM JORDAN GROSSMAN,DEM,85
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,13,2,DEM KISHAN PUTTA,DEM,31
6/16/2020 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,14,2,,CITYWIDE,3833
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,14,2,,CITYWIDE,1003
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,14,2,DEM KISHAN PUTTA,DEM,52
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,14,2,DEM JORDAN GROSSMAN,DEM,160
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,14,2,DEM PATRICK KENNEDY,DEM,224
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,14,2,REP KATHERINE VENICE,REP,33
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,14,2,DEM BROOKE PINTO,DEM,449
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,14,2,DEM YILIN (ELLEN) ZHANG,DEM,42
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,14,2,DEM JOHN FANNING,DEM,28
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,14,2,Write-in,NPN,9
6/16/2020 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,15,2,,CITYWIDE,4322
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,15,2,,CITYWIDE,1091
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,15,2,Write-in,NPN,7
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,15,2,DEM JOHN FANNING,DEM,42
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,15,2,DEM YILIN (ELLEN) ZHANG,DEM,51
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,15,2,DEM BROOKE PINTO,DEM,433
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,15,2,REP KATHERINE VENICE,REP,35
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,15,2,DEM PATRICK KENNEDY,DEM,234
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,15,2,DEM JORDAN GROSSMAN,DEM,216
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,15,2,DEM KISHAN PUTTA,DEM,66
6/16/2020 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,16,2,,CITYWIDE,4747
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,16,2,,CITYWIDE,1284
