ElectionDate,ElectionName,ContestNumber,ContestName,PrecinctNumber,WardNumber,Candidate,Party,Votes
6/2/2020 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,CITYWIDE,5346
6/2/2020 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,DEM,4717
6/2/2020 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,REP,564
6/2/2020 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,LIB,30
6/2/2020 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,STG,35
6/2/2020 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,NPN,0
6/2/2020 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,CITYWIDE,1161
6/2/2020 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,DEM,1112
6/2/2020 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,REP,42
6/2/2020 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,LIB,3
6/2/2020 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,STG,4
6/2/2020 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,NPN,0
6/2/2020 12:00:00 AM,Primary Election,14,DEM DEMOCRATIC PRESIDENTIAL PREFERENCE,1,6,JOSEPH R. BIDEN,DEM,790
6/2/2020 12:00:00 AM,Primary Election,14,DEM DEMOCRATIC PRESIDENTIAL PREFERENCE,1,6,TULSI GABBARD,DEM,2
6/2/2020 12:00:00 AM,Primary Election,14,DEM DEMOCRATIC PRESIDENTIAL PREFERENCE,1,6,BERNIE SANDERS,DEM,121
6/2/2020 12:00:00 AM,Primary Election,14,DEM DEMOCRATIC PRESIDENTIAL PREFERENCE,1,6,ELIZABETH WARREN,DEM,191
6/2/2020 12:00:00 AM,Primary Election,14,DEM DEMOCRATIC PRESIDENTIAL PREFERENCE,1,6,Write-in,DEM,4
6/2/2020 12:00:00 AM,Primary Election,15,REP REPUBLICAN PRESIDENTIAL PREFERENCE,1,6,DONALD J. TRUMP,REP,24
6/2/2020 12:00:00 AM,Primary Election,16,STG DC STATEHOOD GREEN PRESIDENTIAL PREFERENCE,1,6,Write-in,STG,2
6/2/2020 12:00:00 AM,Primary Election,17,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,1,6,ELEANOR HOLMES NORTON,DEM,1051
6/2/2020 12:00:00 AM,Primary Election,17,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,1,6,Write-in,DEM,13
6/2/2020 12:00:00 AM,Primary Election,18,REP DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,1,6,Write-in,REP,12
6/2/2020 12:00:00 AM,Primary Election,19,LIB DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,1,6,FORD FISCHER,LIB,2
6/2/2020 12:00:00 AM,Primary Election,19,LIB DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,1,6,Write-in,LIB,1
6/2/2020 12:00:00 AM,Primary Election,20,STG DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,1,6,NATALE LINO STRACUZZI,STG,3
6/2/2020 12:00:00 AM,Primary Election,20,STG DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,1,6,Write-in,STG,1
6/2/2020 12:00:00 AM,Primary Election,21,DEM AT-LARGE MEMBER OF THE COUNCIL,1,6,ROBERT WHITE,DEM,958
6/2/2020 12:00:00 AM,Primary Election,21,DEM AT-LARGE MEMBER OF THE COUNCIL,1,6,Write-in,DEM,31
6/2/2020 12:00:00 AM,Primary Election,22,REP AT-LARGE MEMBER OF THE COUNCIL,1,6,MARYA PICKERING,REP,38
6/2/2020 12:00:00 AM,Primary Election,22,REP AT-LARGE MEMBER OF THE COUNCIL,1,6,Write-in,REP,1
6/2/2020 12:00:00 AM,Primary Election,23,LIB AT-LARGE MEMBER OF THE COUNCIL,1,6,JOE BISHOP-HENCHMAN,LIB,2
6/2/2020 12:00:00 AM,Primary Election,23,LIB AT-LARGE MEMBER OF THE COUNCIL,1,6,Write-in,LIB,1
6/2/2020 12:00:00 AM,Primary Election,24,STG AT-LARGE MEMBER OF THE COUNCIL,1,6,ANN C. WILCOX,STG,4
6/2/2020 12:00:00 AM,Primary Election,24,STG AT-LARGE MEMBER OF THE COUNCIL,1,6,Write-in,STG,0
6/2/2020 12:00:00 AM,Primary Election,41,DEM UNITED STATES SENATOR,1,6,PAUL STRAUSS,DEM,898
6/2/2020 12:00:00 AM,Primary Election,41,DEM UNITED STATES SENATOR,1,6,Write-in,DEM,23
6/2/2020 12:00:00 AM,Primary Election,42,REP UNITED STATES SENATOR,1,6,Write-in,REP,10
6/2/2020 12:00:00 AM,Primary Election,43,LIB UNITED STATES SENATOR,1,6,Write-in,LIB,3
6/2/2020 12:00:00 AM,Primary Election,44,STG UNITED STATES SENATOR,1,6,ELEANOR ORY (ECHO),STG,3
6/2/2020 12:00:00 AM,Primary Election,44,STG UNITED STATES SENATOR,1,6,Write-in,STG,1
6/2/2020 12:00:00 AM,Primary Election,45,DEM UNITED STATES REPRESENTATIVE,1,6,"OYE ""TAXFREEDC"" OWOLEWA",DEM,814
6/2/2020 12:00:00 AM,Primary Election,45,DEM UNITED STATES REPRESENTATIVE,1,6,Write-in,DEM,22
6/2/2020 12:00:00 AM,Primary Election,46,REP UNITED STATES REPRESENTATIVE,1,6,Write-in,REP,9
6/2/2020 12:00:00 AM,Primary Election,47,LIB UNITED STATES REPRESENTATIVE,1,6,Write-in,LIB,3
6/2/2020 12:00:00 AM,Primary Election,48,STG UNITED STATES REPRESENTATIVE,1,6,JOYCE (CHESTNUT) ROBINSON-PAUL,STG,3
6/2/2020 12:00:00 AM,Primary Election,48,STG UNITED STATES REPRESENTATIVE,1,6,Write-in,STG,1
6/2/2020 12:00:00 AM,Primary Election,49,REP NATIONAL COMMITTEEMAN,1,6,Write-in,REP,9
6/2/2020 12:00:00 AM,Primary Election,50,REP NATIONAL COMMITTEEWOMAN,1,6,ASHLEY CARTER MACLEAY,REP,38
6/2/2020 12:00:00 AM,Primary Election,52,REP CHAIR OF THE DC REPUBLICAN COMMITTEE WARD SIX,1,6,TRAVIS KORSON,REP,38
6/2/2020 12:00:00 AM,Primary Election,59,LIB CHAIR OF THE LIBERTARIAN PARTY OF THE DISTRICT OF CO,1,6,JOE BISHOP-HENCHMAN,LIB,3
6/2/2020 12:00:00 AM,Primary Election,59,LIB CHAIR OF THE LIBERTARIAN PARTY OF THE DISTRICT OF CO,1,6,Write-in,LIB,0
6/2/2020 12:00:00 AM,Primary Election,60,LIB VICE CHAIR OF THE LIBERTARIAN PARTY OF THE DISTRICT,1,6,Write-in,LIB,7
6/2/2020 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,2,2,,CITYWIDE,1101
6/2/2020 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,2,2,,DEM,927
6/2/2020 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,2,2,,REP,160
6/2/2020 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,2,2,,LIB,7
6/2/2020 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,2,2,,STG,7
